data,nome-do-produto,preço,quantidade,vendas_ocorridas
2020-01-01,Notebook,3960.68,6,23764.079999999998
2020-02-01,Monitor,1872.44,1,1872.44
2020-03-01,Fone de Ouvido,3170.4,9,28533.600000000002
2020-04-01,Teclado,349.23,47,16413.81
2020-05-01,Monitor,2054.17,25,51354.25
2020-06-01,Mouse,3018.8,47,141883.6
2020-07-01,Notebook,169.27,4,677.08
2020-08-01,Notebook,3366.45,46,154856.69999999998
2020-09-01,Mouse,1314.97,36,47338.92
2020-10-01,Teclado,2098.0,3,6294.0
2020-11-01,Smartphone,3832.48,21,80482.08
2020-12-01,Notebook,1490.21,41,61098.61
2021-01-01,Notebook,4431.86,26,115228.35999999999
2021-02-01,Fone de Ouvido,1382.64,4,5530.56
2021-03-01,Monitor,968.02,46,44528.92
