DATA,Marca,APRESENTACAO,EAN,MDTR_UND,CPV_UND
2024-08-01,VELTORA (A4H),VELTORA CAP MOLE BLX60,7896658040894,3292,145
2024-09-01,VELTORA (A4H),VELTORA CAP MOLE BLX60,7896658040894,3261,5
2024-06-01,VELTORA (A4H),VELTORA CAP MOLE BLX60,7896658040894,2619,0
2024-10-01,VELTORA (A4H),VELTORA CAP MOLE BLX60,7896658040894,3569,0
2024-12-01,VELTORA (A4H),VELTORA CAP MOLE BLX60,7896658040894,3800.5,0
2024-11-01,VELTORA (A4H),VELTORA CAP MOLE BLX60,7896658040894,3634,0
2024-02-01,VELTORA (A4H),VELTORA CAP MOLE BLX60,7896658040894,1507,0
2024-04-01,VELTORA (A4H),VELTORA CAP MOLE BLX60,7896658040894,2255,0
2024-01-01,VELTORA (A4H),VELTORA CAP MOLE BLX60,7896658040894,1389,0
2024-05-01,VELTORA (A4H),VELTORA CAP MOLE BLX60,7896658040894,2452,0
2024-07-01,VELTORA (A4H),VELTORA CAP MOLE BLX60,7896658040894,3010,3
2024-03-01,VELTORA (A4H),VELTORA CAP MOLE BLX60,7896658040894,1888,0
2024-08-01,NODRIX (A4H),NODRIX DIARIO 5MG COMR BLX60,7896658049095,16139,952
2024-07-01,NODRIX (A4H),NODRIX DIARIO 5MG COMR BLX60,7896658049095,15029,16
2024-09-01,NODRIX (A4H),NODRIX DIARIO 5MG COMR BLX60,7896658049095,17224,22
2024-04-01,NODRIX (A4H),NODRIX DIARIO 5MG COMR BLX60,7896658049095,10426,0
2024-06-01,NODRIX (A4H),NODRIX DIARIO 5MG COMR BLX60,7896658049095,12451,0
2024-10-01,NODRIX (A4H),NODRIX DIARIO 5MG COMR BLX60,7896658049095,19092,0
2024-12-01,NODRIX (A4H),NODRIX DIARIO 5MG COMR BLX60,7896658049095,19743.5,0
2024-11-01,NODRIX (A4H),NODRIX DIARIO 5MG COMR BLX60,7896658049095,19145.33,0
2024-01-01,NODRIX (A4H),NODRIX DIARIO 5MG COMR BLX60,7896658049095,8134,0
2024-05-01,NODRIX (A4H),NODRIX DIARIO 5MG COMR BLX60,7896658049095,10467,0
2024-03-01,NODRIX (A4H),NODRIX DIARIO 5MG COMR BLX60,7896658049095,11474,0
2024-02-01,NODRIX (A4H),NODRIX DIARIO 5MG COMR BLX60,7896658049095,9243,0
2024-08-01,XOREL (A4H),XOREL D 10MG COM EFERV BLAX20 (B1),7896658025525,24080,10908
2024-07-01,XOREL (A4H),XOREL D 10MG COM EFERV BLAX20 (B1),7896658025525,34825,17098
2024-05-01,XOREL (A4H),XOREL D 10MG COM EFERV BLAX20 (B1),7896658025525,31273,14837
2024-09-01,XOREL (A4H),XOREL D 10MG COM EFERV BLAX20 (B1),7896658025525,18991,11383
2024-04-01,XOREL (A4H),XOREL D 10MG COM EFERV BLAX20 (B1),7896658025525,30065,13940
2024-10-01,XOREL (A4H),XOREL D 10MG COM EFERV BLAX20 (B1),7896658025525,22990,12115
2024-03-01,XOREL (A4H),XOREL D 10MG COM EFERV BLAX20 (B1),7896658025525,31108,13806
2024-12-01,XOREL (A4H),XOREL D 10MG COM EFERV BLAX20 (B1),7896658025525,17603,11372
2024-11-01,XOREL (A4H),XOREL D 10MG COM EFERV BLAX20 (B1),7896658025525,20002,11465
2024-02-01,XOREL (A4H),XOREL D 10MG COM EFERV BLAX20 (B1),7896658025525,29628,12288
2024-01-01,XOREL (A4H),XOREL D 10MG COM EFERV BLAX20 (B1),7896658025525,30748,13101
2024-06-01,XOREL (A4H),XOREL D 10MG COM EFERV BLAX20 (B1),7896658025525,29501,14764
2024-08-01,BELLVIA (A4H),BELLVIA FOLICO COMR BLX45,7896658003653,66346,1472
2024-07-01,BELLVIA (A4H),BELLVIA FOLICO COMR BLX45,7896658003653,64015,19
2024-05-01,BELLVIA (A4H),BELLVIA FOLICO COMR BLX45,7896658003653,59990,0
2024-09-01,BELLVIA (A4H),BELLVIA FOLICO COMR BLX45,7896658003653,65814,13
2024-04-01,BELLVIA (A4H),BELLVIA FOLICO COMR BLX45,7896658003653,55092,0
2024-06-01,BELLVIA (A4H),BELLVIA FOLICO COMR BLX45,7896658003653,58871,0
2024-10-01,BELLVIA (A4H),BELLVIA FOLICO COMR BLX45,7896658003653,87644,0
2024-03-01,BELLVIA (A4H),BELLVIA FOLICO COMR BLX45,7896658003653,54171,0
2024-12-01,BELLVIA (A4H),BELLVIA FOLICO COMR BLX45,7896658003653,69408,1528
2024-11-01,BELLVIA (A4H),BELLVIA FOLICO COMR BLX45,7896658003653,69173,1441
2024-02-01,BELLVIA (A4H),BELLVIA FOLICO COMR BLX45,7896658003653,52902,0
2024-01-01,BELLVIA (A4H),BELLVIA FOLICO COMR BLX45,7896658003653,52320,0
2024-12-01,YUNELIS (A4H),YUNELIS 30 3+0.03MG COMR BLX21,7896658048227,1247,50
2024-04-01,YUNELIS (A4H),YUNELIS 30 3+0.03MG COMR BLX21,7896658048227,463,0
2024-10-01,YUNELIS (A4H),YUNELIS 30 3+0.03MG COMR BLX21,7896658048227,1012,0
2024-05-01,YUNELIS (A4H),YUNELIS 30 3+0.03MG COMR BLX21,7896658048227,423,0
2024-03-01,YUNELIS (A4H),YUNELIS 30 3+0.03MG COMR BLX21,7896658048227,271,0
2024-11-01,YUNELIS (A4H),YUNELIS 30 3+0.03MG COMR BLX21,7896658048227,1156,34
2024-07-01,YUNELIS (A4H),YUNELIS 30 3+0.03MG COMR BLX21,7896658048227,545,0
2024-06-01,YUNELIS (A4H),YUNELIS 30 3+0.03MG COMR BLX21,7896658048227,404,0
2024-08-01,YUNELIS (A4H),YUNELIS 30 3+0.03MG COMR BLX21,7896658048227,712,11
2024-09-01,YUNELIS (A4H),YUNELIS 30 3+0.03MG COMR BLX21,7896658048227,791,0
2024-02-01,YUNELIS (A4H),YUNELIS 30 3+0.03MG COMR BLX21,7896658048227,87,0
2024-08-01,DORMAVIX (A4H),DORMAVIX 250MG CAP FRX120,7896658020995,10719,8388
2024-07-01,DORMAVIX (A4H),DORMAVIX 250MG CAP FRX120,7896658020995,11303,9415
2024-05-01,DORMAVIX (A4H),DORMAVIX 250MG CAP FRX120,7896658020995,12238,10246
2024-09-01,DORMAVIX (A4H),DORMAVIX 250MG CAP FRX120,7896658020995,9462,8136
2024-04-01,DORMAVIX (A4H),DORMAVIX 250MG CAP FRX120,7896658020995,11393,9755
2024-06-01,DORMAVIX (A4H),DORMAVIX 250MG CAP FRX120,7896658020995,11834,10272
2024-10-01,DORMAVIX (A4H),DORMAVIX 250MG CAP FRX120,7896658020995,8988,7619
2024-03-01,DORMAVIX (A4H),DORMAVIX 250MG CAP FRX120,7896658020995,14276,12456
2024-12-01,DORMAVIX (A4H),DORMAVIX 250MG CAP FRX120,7896658020995,6767,5389
2024-11-01,DORMAVIX (A4H),DORMAVIX 250MG CAP FRX120,7896658020995,7106,5649
2024-02-01,DORMAVIX (A4H),DORMAVIX 250MG CAP FRX120,7896658020995,12353,10321
2024-01-01,DORMAVIX (A4H),DORMAVIX 250MG CAP FRX120,7896658020995,12880,11168
