DATA,Marca,APRESENTACAO,EAN,MDTR_UND,CPV_UND
2024-08-01,VELTORA (A4H),VELTORA CAP MOLE BLX60,7896658040894,3292,145
2024-09-01,VELTORA (A4H),VELTORA CAP MOLE BLX60,7896658040894,3261,5
2024-06-01,VELTORA (A4H),VELTORA CAP MOLE BLX60,7896658040894,2619,0
2024-10-01,VELTORA (A4H),VELTORA CAP MOLE BLX60,7896658040894,3569,0
2024-12-01,VELTORA (A4H),VELTORA CAP MOLE BLX60,7896658040894,3800.5,0
2024-11-01,VELTORA (A4H),VELTORA CAP MOLE BLX60,7896658040894,3634,0
2024-02-01,VELTORA (A4H),VELTORA CAP MOLE BLX60,7896658040894,1507,0
2024-04-01,VELTORA (A4H),VELTORA CAP MOLE BLX60,7896658040894,2255,0
2024-01-01,VELTORA (A4H),VELTORA CAP MOLE BLX60,7896658040894,1389,0
2024-05-01,VELTORA (A4H),VELTORA CAP MOLE BLX60,7896658040894,2452,0
2024-07-01,VELTORA (A4H),VELTORA CAP MOLE BLX60,7896658040894,3010,3
2024-03-01,VELTORA (A4H),VELTORA CAP MOLE BLX60,7896658040894,1888,0
2024-08-01,NODRIX (A4H),NODRIX DIARIO 5MG COMR BLX60,7896658049095,16139,952
2024-07-01,NODRIX (A4H),NODRIX DIARIO 5MG COMR BLX60,7896658049095,15029,16
2024-09-01,NODRIX (A4H),NODRIX DIARIO 5MG COMR BLX60,7896658049095,17224,22
2024-04-01,NODRIX (A4H),NODRIX DIARIO 5MG COMR BLX60,7896658049095,10426,0
2024-06-01,NODRIX (A4H),NODRIX DIARIO 5MG COMR BLX60,7896658049095,12451,0
2024-10-01,NODRIX (A4H),NODRIX DIARIO 5MG COMR BLX60,7896658049095,19092,0
2024-12-01,NODRIX (A4H),NODRIX DIARIO 5MG COMR BLX60,7896658049095,19743.5,0
2024-11-01,NODRIX (A4H),NODRIX DIARIO 5MG COMR BLX60,7896658049095,19145.33,0
2024-01-01,NODRIX (A4H),NODRIX DIARIO 5MG COMR BLX60,7896658049095,8134,0
2024-05-01,NODRIX (A4H),NODRIX DIARIO 5MG COMR BLX60,7896658049095,10467,0
2024-03-01,NODRIX (A4H),NODRIX DIARIO 5MG COMR BLX60,7896658049095,11474,0
2024-02-01,NODRIX (A4H),NODRIX DIARIO 5MG COMR BLX60,7896658049095,9243,0
2024-08-01,XOREL (A4H),XOREL D 10MG COM EFERV BLAX20 (B1),7896658025525,24080,10908
2024-07-01,XOREL (A4H),XOREL D 10MG COM EFERV BLAX20 (B1),7896658025525,34825,17098
2024-05-01,XOREL (A4H),XOREL D 10MG COM EFERV BLAX20 (B1),7896658025525,31273,14837
2024-09-01,XOREL (A4H),XOREL D 10MG COM EFERV BLAX20 (B1),7896658025525,18991,11383
